302
4
Magic_the_gathering__РДДТ РДДТ0__РДДТ bot2 РДДТ-1__РДДТ 
1 0 3 2 
StandartMap
W W W W 
W W W W 
U U L D 
U U W D 
U U L D 
B U W D 
D U L D 
D U D D 
D U W D 
R U L D 
R U W D 
R U R D 
U U L D 
U U D D 
U U W D 
U U W D 
W U R D 
D U L D 
D U L D 
R U W D 
R U R D 
R U D D 
U U R D 
U U L D 
U U D D 
B U R D 
D U R D 
D U D D 
D U W D 
R U W D 
R U L D 
R U D D 
U U L D 
U U W D 
U U U D 
U U R D 
B U D D 
D U U D 
D U U D 
D U W D 
R U R D 
R U L D 
R U R D 
L U R D 
L U U D 
L U W D 
L U W D 
L U W D 
W U W D 
R U W D 
R U L D 
R U W D 
R U D D 
R U L D 
L U L D 
L U R D 
L U L D 
L U U D 
L U L D 
L U U D 
W U R D 
R U W D 
R U R D 
R U R D 
R U U D 
R U W D 
L U W D 
L U D D 
L U W D 
L U W D 
L U L D 
W U R D 
R U D D 
R U L D 
R U W D 
R U W D 
R U L D 
L U W D 
L U L D 
L U W D 
L U R D 
L U L D 
L U D D 
L U L D 
W U W D 
R U W D 
R U D D 
R U L D 
R U W D 
R U R D 
L U D D 
L U L D 
L U L D 
L U W D 
L U U D 
W U R D 
R U L D 
R U W D 
R U L D 
R U D D 
R U R D 
L U U D 
L U L D 
L U U D 
L U U D 
L U R D 
W U L D 
R U R D 
R U R D 
R U L D 
R U U D 
R U L D 
L U W D 
L U W D 
L U L D 
L U W D 
L U W D 
L U W D 
L U D D 
W U R D 
R U W D 
R U D D 
R U L D 
R U D D 
R U D D 
L U R D 
L U L D 
L U U D 
L U D D 
L U R D 
W U D D 
R U L D 
R U W D 
R U R D 
R U W D 
R U U D 
L U W D 
L U W D 
L U W D 
L U D D 
L U D D 
L U R D 
L U W D 
W U W D 
R U W D 
R U W D 
R U R D 
R U W D 
R U D D 
L U W D 
L U D D 
L U D D 
L U W D 
L U W D 
L U U D 
L U D D 
W U D D 
R U D D 
R U W D 
R U U D 
R U W D 
R U W D 
L U D D 
L U L D 
L U R D 
L U W D 
L U W D 
L U U D 
L U L D 
W U R D 
R U L D 
R U D D 
R U L D 
R U W D 
R U R D 
L U D D 
L U W D 
L U R D 
L U L D 
L U U D 
L U L D 
W U L D 
R U L D 
R U W D 
R U R D 
R U R D 
R U W D 
L U R D 
L U L D 
L U W D 
L U L D 
L U R D 
W U U D 
R U D D 
R U D D 
R U W D 
R U D D 
R U W D 
L U W D 
L U R D 
L U U D 
L U D D 
L U W D 
L U U D 
W U D D 
R U W D 
R U W D 
R U R D 
R U D D 
R U D D 
L U W D 
L U D D 
L U L D 
L U W D 
L U W D 
W U U D 
R U W D 
R U R D 
R U W D 
R U U D 
R U L D 
L U W D 
L U D D 
L U R D 
L U D D 
L U L D 
L U W D 
L U W D 
W U R D 
R U D D 
R U U D 
R U D D 
R U R D 
R U L D 
L U W D 
L U U D 
L U W D 
L U R D 
L U L D 
W U R D 
R U L D 
R U W D 
R U R D 
R U U D 
R U W D 
L U W D 
L U W D 
L U L D 
L U D D 
L U R D 
L U L D 
W U W D 
R U W D 
R U R D 
R U W D 
R U U D 
R U W D 
L U U D 
L U L D 
L U L D 
L U W D 
L U W D 
L U U D 
W U U D 
R U U D 
R U U D 
R U D D 
R U U D 
R U W D 
L U L D 
L U W D 
L U W D 
L U L D 
L U U D 
L U W D 
L U U D 
W U R D 
R U U D 
R U U D 
R U R D 
R U W D 
R U L D 
L U W D 
L U R D 
L U D D 
L U W D 
L U W D 
L U W D 
W U L D 
R U D D 
R U W D 
R U U D 
R U W D 
R U D D 
L U L D 
L U W D 
L U D D 
L U W D 
L U D D 
L U L D 
L U R D 
W U L D 

