302
4
Magic_the_gathering__РДДТ РДДТ-1__РДДТ bot2 РДДТ0__РДДТ 
1 0 2 3 
StandartMap2
W W W W 
W W W W 
R U L W 
L U D W 
D U R W 
L U L W 
D U W W 
L U L W 
D U W W 
L U W W 
L U R W 
L U U W 
L U W W 
D U W W 
L U D W 
R U D W 
L U W W 
R U L W 
U U W W 
D U R W 
U U L W 
U U W W 
U U D W 
L U D W 
U U L W 
L U W W 
R U W W 
R U D W 
D U W W 
R U L W 
D U L W 
L U L W 
D U U W 
R U R W 
R U D W 
R U W W 
D U W W 
L U R W 
U U L W 
R U U W 
R U R W 
R U L W 
L U U W 
R U R W 
D U D W 
U U L W 
R U W W 
L U R W 
D U L W 
L U R W 
D U W W 
L U R W 
L U W W 
R U W W 
D U U W 
U U L W 
U U W W 
U U D W 
L U D W 
L U R W 
L U W W 
U U R W 
U U R W 
U U L W 
U U U W 
D U L W 
D U R W 
R U W W 
L U D W 
D U W W 
R U W W 
U U W W 
U U R W 
R U R W 
R U U W 
U U W W 
L U W W 
D U W W 
R U L W 
U U W W 
D U W W 
D U W W 
R U D W 
R U W W 
R U R W 
D U W W 
R U W W 
R U W W 
L U D W 
U U W W 
D U W W 
U U L W 
R U L W 
D U L W 
R U W W 
R U L W 
D U W W 
L U W W 
U U W W 
D U D W 
D U U W 
D U L W 
D U U W 
R U U W 
R U D W 
U U R W 
L U W W 
U U D W 
R U D W 
L U R W 
L U W W 
L U W W 
R U W W 
L U U W 
L U W W 
U U W W 
D U L W 
R U W W 
U U L W 
R U L W 
R U R W 
U U U W 
L U L W 
L U L W 
R U U W 
L U D W 
R U D W 
U U W W 
U U U W 
R U L W 
R U U W 
U U W W 
D U R W 
U U L W 
L U U W 
R U W W 
D U L W 
L U D W 
R U W W 
L U D W 
L U R W 
R U D W 
D U W W 
R U L W 
R U D W 
U U R W 
D U L W 
L U W W 
L U D W 
D U D W 
R U U W 
D U U W 
R U D W 
D U W W 
U U W W 
U U L W 
D U U W 
L U W W 
R U W W 
L U U W 
D U R W 
D U W W 
L U W W 
L U W W 
R U D W 
D U U W 
L U U W 
R U D W 
L U D W 
R U U W 
L U D W 
R U L W 
R U L W 
L U U W 
L U R W 
L U R W 
U U R W 
U U D W 
L U L W 
D U W W 
R U U W 
L U L W 
R U W W 
L U R W 
R U W W 
L U U W 
R U D W 
R U W W 
R U W W 
L U U W 
D U L W 
D U L W 
L U W W 
L U W W 
R U D W 
D U R W 
D U D W 
R U L W 
U U U W 
L U W W 
L U W W 
U U W W 
R U W W 
U U L W 
R U R W 
R U D W 
L U W W 
R U W W 
R U D W 
D U L W 
L U D W 
D U W W 
U U W W 
R U D W 
L U L W 
R U W W 
D U U W 
R U U W 
L U W W 
R U R W 
L U D W 
R U R W 
D U L W 
R U R W 
D U R W 
L U W W 
R U W W 
R U U W 
R U L W 
U U D W 
R U W W 
L U R W 
D U R W 
R U U W 
D U W W 
D U D W 
D U R W 
R U L W 
R U R W 
L U W W 
L U W W 
U U D W 
R U D W 
U U W W 
R U L W 
R U W W 
L U D W 
D U R W 
L U W W 
D U L W 
D U U W 
L U L W 
L U W W 
L U W W 
L U W W 
L U W W 
R U L W 
L U D W 
U U U W 
L U R W 
U U D W 
R U D W 
D U R W 
U U W W 
R U W W 
L U L W 
L U U W 
L U W W 
L U R W 
L U W W 
L U R W 
L U L W 
U U W W 
D U L W 
R U L W 
R U R W 
U U W W 
L U W W 
U U W W 
D U U W 
D U D W 
U U U W 
D U R W 
R U W W 
L U U W 
L U W W 
L U R W 
R U L W 
L U L W 
R U U W 
U U U W 
L U L W 
L U R W 
D U D W 
D U L W 
L U W W 
L U D W 
U U U W 
D U W W 
U U U W 
R U R W 
D U D W 

